value,date
0,2020-01-27
0,2020-01-28
0,2020-01-29
0,2020-01-30
0,2020-01-31
0,2020-02-01
0,2020-02-02
0,2020-02-03
0,2020-02-04
0,2020-02-05
0,2020-02-06
0,2020-02-07
0,2020-02-08
0,2020-02-09
0,2020-02-10
0,2020-02-11
0,2020-02-12
0,2020-02-13
0,2020-02-14
0,2020-02-15
0,2020-02-16
0,2020-02-17
0,2020-02-18
0,2020-02-19
0,2020-02-20
0,2020-02-21
0,2020-02-22
0,2020-02-23
0,2020-02-24
0,2020-02-25
0,2020-02-26
0,2020-02-27
0,2020-02-28
0,2020-02-29
3,2020-03-01
0,2020-03-02
2,2020-03-03
0,2020-03-04
3,2020-03-05
11,2020-03-06
7,2020-03-07
6,2020-03-08
6,2020-03-09
25,2020-03-10
31,2020-03-11
22,2020-03-12
25,2020-03-13
48,2020-03-14
109,2020-03-15
85,2020-03-16
67,2020-03-17
110,2020-03-18
205,2020-03-19
124,2020-03-20
158,2020-03-21
114,2020-03-22
126,2020-03-23
185,2020-03-24
291,2020-03-25
259,2020-03-26
373,2020-03-27
262,2020-03-28
160,2020-03-29
184,2020-03-30
307,2020-03-31
281,2020-04-01
269,2020-04-02
332,2020-04-03
282,2020-04-04
115,2020-04-05
235,2020-04-06
195,2020-04-07
295,2020-04-08
257,2020-04-09
163,2020-04-10
170,2020-04-11
89,2020-04-12
68,2020-04-13
82,2020-04-14
160,2020-04-15
132,2020-04-16
116,2020-04-17
105,2020-04-18
92,2020-04-19
